Benoit; €€€; Classic Cuisine; 48.8583611, 2.3499787; 20 rue Saint-Martin, Paris, 75004, France; https://www.benoit-paris.com/
La Table Cachée par Michel Roth; €€€; Modern Cuisine; N/A, N/A; BHV, 33 rue de la Verrerie, Paris, 75004, France; https://www.bhv.fr/magasins/vivez-bhv/un-petit-creux/la-table-cachee-par-michel-roth
GrandCœur; €€€; Modern Cuisine; 48.8595616, 2.3539922; 41 rue du Temple, Paris, 75004, France; http://www.grandcoeur.paris
Aldehyde; €€€€; Creative; 48.8549386, 2.3553865; 5 rue du Pont-Louis-Philippe, Paris, 75004, France; https://aldehyde.paris/
Bombance; €€; Modern Cuisine; 48.8598038, 2.3550656; 40 rue des Blancs-Manteaux, Paris, 75004, France; https://www.bombanceparis.fr/
Tavline; €€; Israeli; 48.8564311, 2.3575272; 25 rue du Roi-de-Sicile, Paris, 75004, France; https://www.tavline.fr/
Baffo; €€€; Italian; 48.8601419, 2.3562158; 12 rue Pecquay, Paris, 75004, France; https://www.baffo.fr/
Hestia; €€€; Modern Cuisine; 48.8528639, 2.3462855; 8 rue de la Huchette, Paris, 75005, France; http://www.hestia-restaurant.com
Sola; €€€€; Japanese, Creative; 48.8515758, 2.3483959; 12 rue de l'Hôtel-Colbert, Paris, 75005, France; https://www.restaurant-sola.com/
Odette; €€€; Modern Cuisine; 48.86120733985918, 2.34496768600237; 25 rue du Pont-Neuf, Paris, 75001, France; https://www.maison-albar-hotels-le-pont-neuf.com/fr/page/restaurant-odette-paris.2488.html
Atelier Maître Albert; €€; Traditional Cuisine; 48.8510138, 2.3500894; 1 rue Maître-Albert, Paris, 75005, France; https://www.ateliermaitrealbert.com/
Hakuba; €€€€; Japanese; 48.8588572, 2.3421794; Cheval Blanc Paris, 8 quai du Louvre, Paris, 75001, France; https://www.chevalblanc.com/fr/maison/paris/restaurants-et-bars/hakuba/
Le Sergent Recruteur; €€€€; Modern Cuisine; 48.8519671, 2.3560662; 41 rue Saint-Louis-en-l'Île, Paris, 75004, France; https://www.lesergentrecruteur.fr/
L'Initial; €€€; Modern Cuisine; 48.8506901, 2.3504188; 9 rue de Bièvre, Paris, 75005, France; https://restaurant-linitial.fr/
Le Tout-Paris; €€€€; Modern Cuisine; 48.8588572, 2.3421794; Cheval Blanc Paris, 8 quai du Louvre, Paris, 75001, France; https://www.letoutparis.fr
Plénitude - Cheval Blanc Paris; €€€€; Creative; 48.8588428, 2.3418987; 8 quai du Louvre, Paris, 75001, France; https://www.chevalblanc.com/fr/maison/paris/
Langosteria; €€€€; Italian, Seafood; 48.8588572, 2.3421794; Cheval Blanc Paris, 8 quai du Louvre, Paris, 75001, France; https://www.langosteria.com/it/langosteria-paris
